date,t1,c1,p1,sal,sv
20211003T000401.773Z,9.4623,3.39969,97.313,31.2673,1484.925
20211003T000402.714Z,9.4622,3.3997,97.312,31.2674,1484.924
20211003T000403.717Z,9.4621,3.39969,97.312,31.2674,1484.924
20211003T000404.716Z,9.462,3.3997,97.312,31.2676,1484.924
20211003T000405.767Z,9.4619,3.3997,97.312,31.2677,1484.924
20211003T000406.714Z,9.4618,3.3997,97.312,31.2678,1484.923
20211003T000407.739Z,9.4616,3.3997,97.313,31.2679,1484.923
20211003T000408.714Z,9.4616,3.3997,97.313,31.268,1484.923
20211003T000409.733Z,9.4615,3.3997,97.312,31.268,1484.923
20211003T000410.716Z,9.4615,3.39969,97.312,31.268,1484.922
20211003T000411.793Z,9.4615,3.3997,97.313,31.268,1484.923
20211003T000412.714Z,9.4615,3.3997,97.312,31.2681,1484.923
20211003T000413.718Z,9.4616,3.3997,97.312,31.268,1484.923
20211003T000414.713Z,9.4616,3.39969,97.312,31.2679,1484.923
20211003T000415.768Z,9.4616,3.39969,97.311,31.2678,1484.923
20211003T000416.716Z,9.4615,3.39968,97.312,31.2678,1484.922
20211003T000417.735Z,9.4616,3.39968,97.312,31.2677,1484.923
20211003T000418.713Z,9.4619,3.39967,97.311,31.2675,1484.923
20211003T000419.761Z,9.462,3.39964,97.312,31.267,1484.923
20211003T000420.713Z,9.4619,3.39965,97.312,31.2671,1484.923
20211003T000421.735Z,9.4619,3.39963,97.311,31.267,1484.923
20211003T000422.713Z,9.4618,3.39963,97.311,31.267,1484.922
20211003T000423.767Z,9.4617,3.39963,97.312,31.2671,1484.922
20211003T000424.715Z,9.4616,3.39963,97.311,31.2672,1484.922
20211003T000425.727Z,9.4616,3.39962,97.311,31.2672,1484.922
20211003T000426.713Z,9.4615,3.39962,97.311,31.2673,1484.922
20211003T000427.721Z,9.4613,3.39961,97.311,31.2673,1484.921
20211003T000428.713Z,9.4612,3.39961,97.311,31.2673,1484.921
20211003T000429.775Z,9.461,3.3996,97.312,31.2675,1484.92
20211003T000430.714Z,9.461,3.3996,97.311,31.2674,1484.92
20211003T000431.805Z,9.4611,3.39959,97.311,31.2672,1484.92
20211003T000432.717Z,9.4611,3.39958,97.311,31.2672,1484.92
20211003T000433.764Z,9.4611,3.39959,97.311,31.2673,1484.92
20211003T000434.715Z,9.4611,3.39958,97.31,31.2672,1484.92
20211003T000435.719Z,9.4611,3.39957,97.31,31.2671,1484.92
20211003T000436.722Z,9.461,3.39957,97.31,31.2672,1484.92
20211003T000437.789Z,9.4608,3.39957,97.311,31.2674,1484.919
20211003T000438.720Z,9.4608,3.39956,97.311,31.2672,1484.919
20211003T000439.809Z,9.4608,3.39956,97.311,31.2672,1484.919
20211003T000440.729Z,9.4608,3.39954,97.311,31.267,1484.919
20211003T000441.770Z,9.4608,3.39955,97.311,31.2671,1484.919
20211003T000442.719Z,9.4608,3.39956,97.311,31.2673,1484.919
20211003T000443.824Z,9.4608,3.39955,97.311,31.2672,1484.919
20211003T000444.734Z,9.4607,3.39957,97.31,31.2674,1484.919
20211003T000445.738Z,9.4604,3.39956,97.312,31.2676,1484.918
20211003T000446.715Z,9.4601,3.39958,97.311,31.268,1484.918
20211003T000447.736Z,9.4597,3.39958,97.311,31.2684,1484.917
20211003T000448.717Z,9.4597,3.39958,97.311,31.2684,1484.916
20211003T000449.743Z,9.4599,3.39958,97.311,31.2682,1484.917
20211003T000450.717Z,9.4601,3.39959,97.31,31.2681,1484.918
